first/name,last/name,address,date
Lewis Hogan,Willie Griffith,1998 Ajefo Place,11/26/2020
Eleanor Thomas,Tony Drake,1986 Wofpi Lane,10/27/1980
Lottie Henderson,Johnny West,568 Raabo Circle,05/10/1992
Tony Strickland,Rose Hicks,1080 Ziera Pike,12/27/2063
Ida Perkins,Eunice Jordan,1511 Ezuzuf Point,04/03/1921
Leo Floyd,Nettie Baldwin,617 Redef Pass,10/27/1907
Richard Lee,Luis Schultz,1256 Sucza Street,02/15/1928
Belle Jackson,Max Hoffman,271 Guhbo Parkway,05/06/2012
Samuel Price,Lillian Atkins,1662 Ocir Drive,04/01/2022
Chester Jensen,Frank Harper,1741 Kezrif Court,01/25/1924
Tony Patrick,Sylvia Burton,63 Perpi Ridge,04/26/2011
Cynthia Christensen,Jimmy Patterson,1436 Loah Place,11/15/1916
Isaiah Harrington,Gavin Lewis,729 Ipnu Trail,01/19/1950
Rose Franklin,Maurice Kim,159 Ojiju Ridge,08/09/2068
Jay Rodriguez,Rosetta Briggs,340 Duosi Highway,07/14/2033
Nell Franklin,Matilda Manning,1321 Vowca Court,04/12/2035
Isabella Bass,Violet Peters,995 Ofaj Turnpike,12/11/1977
Martin Massey,Lelia Arnold,605 Ogke Park,08/09/2067
Hulda Jennings,David Terry,187 Taco Heights,01/25/2009
Brandon Ryan,Maude Adams,1740 Daupe Turnpike,05/18/1978
Ola Dean,Martin Diaz,947 Rifbu Center,08/29/1947
Sophia Barber,Sara Vega,398 Laho Boulevard,02/06/2039
Alma McGee,Jack Frank,1800 Sape Mill,05/04/1916
Tommy Gregory,Myrtie Gutierrez,1964 Teac Extension,02/03/1993
Ralph Ruiz,Alvin Sanchez,73 Eflu Park,04/20/1942
Emilie Burton,Benjamin Barnett,368 Juaw Square,12/12/2029
Randy Lewis,Leo Romero,332 Kibi Drive,07/29/2034
Billy Kelley,Frances Hale,783 Lerpi Point,11/15/1917
Peter Park,Alberta Green,932 Hiez Pass,09/18/1920
Virgie Neal,Jerome Summers,689 Unezu Terrace,02/10/1961
Steve Flores,Florence Snyder,1324 Idigu Boulevard,11/03/1986
Sophia Steele,Justin Clarke,1381 Zeoka Center,09/14/1938
Tommy Chandler,Alma Rose,734 Cihcip Highway,04/13/2024
Arthur Patrick,Caroline Beck,929 Samow Square,11/27/1964
Mollie Carson,Ronnie Pearson,1995 Nokul Plaza,12/01/2063
Olga Crawford,Helena Stanley,188 Kioke Plaza,10/09/2011
Fred Mitchell,Ivan Powell,497 Taku Way,11/30/2069
Josephine Benson,Kenneth Vega,631 Bighe Center,12/29/2035
Landon Ramsey,Amy Miles,1622 Buna Terrace,11/02/1949
William Black,Lillie Coleman,858 Cickij Drive,03/15/2060
Jeanette Soto,Rosa Summers,1736 Cevna Lane,11/18/1904
Ruby Wise,Harry Bush,863 Fofib Boulevard,03/10/2014
Nathan Jacobs,Abbie Zimmerman,95 Tickoc Place,04/10/1936
Lawrence Norris,Inez Moody,734 Zihmar Path,09/04/2038
Florence Gross,Cornelia Benson,541 Eruis Road,12/13/1951
Flora Jensen,Dora Gonzales,1005 Esda Boulevard,08/04/1980
Roger Copeland,Eddie Smith,786 Nafzoz Pass,09/24/2010
Herman Garrett,Luke Larson,493 Vavow Circle,09/09/2034
Christina Santiago,Mario McKenzie,792 Salkov Road,02/13/1912
Alta Becker,Mattie Roy,1738 Ejla River,01/21/2017
Dennis Moss,Jacob Burgess,1601 Kihfak Path,11/07/1978
Chase Schneider,Lillian Hart,1578 Mepde Plaza,05/20/2057
Adele Morales,Joel Cohen,1011 Mopen Trail,11/17/2007
Bill McGuire,Bryan Greer,1856 Ceded Boulevard,10/31/2056
Eunice King,Johnny Cummings,1820 Lilpuw River,05/04/1929
Elizabeth Robertson,Lester Griffith,392 Deftal Road,10/01/1989
Beulah Watkins,Harvey Watson,170 Ceuho River,07/23/1929
Elizabeth Stephens,Matthew Arnold,972 Tusa Heights,06/19/1989
Mason Mitchell,Oscar Hughes,436 Hepa Court,06/30/1986
Josephine Henry,Lura Cunningham,298 Febze Loop,04/15/2011
Teresa Scott,Fannie Strickland,1883 Topzi Grove,04/23/1980
Grace Byrd,Nannie McKinney,204 Helov Lane,11/12/1945
Beulah Ford,Maggie Wong,1587 Asna Park,06/02/1967
Luella Fleming,Bernice Lopez,1976 Tewlem Road,02/18/2010
Theodore West,Brett Leonard,1339 Araot Junction,11/11/1907
Mildred Hopkins,Alice Hayes,1870 Zite Trail,01/06/1934
Harry Howard,Terry Vega,974 Dibti Heights,01/13/2037
Daisy Graves,Lina Hunter,876 Izcew Avenue,05/30/1929
Jack Stanley,Catherine Mendez,190 Kulbuj Grove,07/30/2041
Jon Cooper,Dustin Reese,1615 Rulifa Turnpike,05/01/2057
Wayne Griffin,Tom Garner,1934 Iszan Extension,04/15/1900
Stella Dennis,Emilie Silva,49 Ubacub Mill,05/11/2004
Nina Keller,Louise Kennedy,470 Rifub View,10/31/2045
Eunice Gray,Lelia Mullins,1013 Wucewa Path,07/26/1933
Ricky Fields,Elva Shelton,592 Ziku Park,04/21/2059
Linnie Luna,Randy Duncan,575 Wudup Park,12/14/2055
Lilly Black,Adrian Mendez,269 Edeefe Street,12/03/2044
Jim Moran,Charlie Curtis,273 Ahfus Avenue,10/22/1967
Jesse Adkins,Daisy McCarthy,1798 Supi Street,03/09/2048
Chase Guzman,Evelyn Baker,1654 Benel Way,02/04/1927
Luke Kelly,Susie Brady,1982 Muglih Ridge,01/24/1949
Ralph Bryant,Gerald Dixon,458 Jezbiz Mill,03/08/1990
Johnny Wong,Roy Pierce,882 Kefac Glen,10/17/1944
Alex Gibson,Matthew Marsh,978 Baznad Court,10/25/1958
Clara Henry,Estella Warner,1519 Tucuc Road,04/22/2016
Olivia Zimmerman,Myrtle Hubbard,703 Kuwmuj View,09/06/1940
Rhoda Palmer,Ralph Berry,386 Juloj Turnpike,03/13/1976
Bill Austin,Kyle Gilbert,706 Kamwof Drive,02/14/2068
Bobby Fowler,Inez Hill,579 Baleg Turnpike,05/24/1987
Antonio Price,Dustin Barker,1455 Wawho Square,01/02/1998
Estella Manning,Ricardo Higgins,921 Vukgo Path,11/24/2013
Adele Berry,Lulu Hart,694 Fevaz Road,07/06/1925
Roger Norris,Connor Clarke,1499 Wakebu Lane,02/13/1987
Inez Valdez,Ricky Bush,744 Netih Extension,07/09/2008
Calvin Roberts,David Wood,291 Todu Key,09/06/2025
Philip Huff,Alfred Joseph,356 Tewzuv Glen,10/30/2050
Elijah Christensen,Mae Higgins,1298 Rommar Park,02/16/2039
Katharine Thompson,Anthony Ballard,603 Viwi River,09/05/1921
Virgie Harris,Agnes Reynolds,8 Zibej Street,08/12/1924
Lester Moreno,Kathryn Pearson,445 Inzu Parkway,12/23/1934
Eugenia McCormick,Juan Waters,303 Abezig Street,07/15/1932
Francis Nelson,Aaron Ruiz,955 Catzub Court,05/08/2055
Mable Manning,Andrew Massey,1792 Pavha Way,01/05/2050
Lou Harvey,Marvin Morrison,1753 Tutciz Path,04/16/1951
Hallie Lane,Clyde Murray,1996 Gubba Mill,05/08/1919
Andre Graham,Tyler Jacobs,572 Fenho Park,10/10/1952
Troy Boone,Jeff Burke,839 Edbow Avenue,10/19/1997
Loretta Gardner,Julia Lane,312 Kakec Avenue,08/04/1960
Mathilda Ramsey,Margaret Kim,1307 Rabo Street,08/27/1985
Eugenia Soto,Bertha Abbott,1779 Pomne Turnpike,10/22/2012
Dylan Palmer,Mayme Wong,1976 Nini Grove,04/28/2053
Olivia Carr,Marvin Spencer,517 Boeho Mill,09/07/1919
Lura Wright,Iva Singleton,1326 Sajul Grove,06/14/1909
Luis Thomas,Micheal Singleton,927 Olpa Glen,04/04/1920
Rebecca Erickson,Adele Malone,1419 Wuha Manor,02/18/1907
