first/name,last/name,address,date
Nettie Bell,Gertrude Yates,1045 Vajev Square,03/06/2002
Elsie Norman,Gregory Burns,765 Zanse Manor,05/11/2045
Irene Carroll,Derrick Austin,506 Bekwot Mill,05/13/2002
Danny Summers,Emma West,1417 Duga Turnpike,10/03/1972
Ann Hernandez,Andre Soto,1696 Firiru Square,07/04/1945
Lura Hampton,Ophelia Welch,1121 Citmum Pike,06/26/2063
Donald Peterson,Daniel White,398 Uwopa Place,05/04/2014
Howard Sherman,Charles Coleman,1488 Vebij Street,08/23/1920
Mabelle Mason,Katharine Turner,755 Jeesa River,11/10/2026
Raymond Holmes,Harold Washington,424 Huger Key,11/12/2020
Mason Lowe,Elnora Holloway,312 Logji Place,06/22/1962
Blake Fitzgerald,Mollie French,626 Ruvafa Trail,07/04/1948
Jeanette Simpson,Randy Hart,1806 Hipreb Extension,06/13/2000
Lena Walsh,Eva Lane,1811 Hiuz Court,07/22/1967
William Munoz,Helena Ray,1780 Cuvgew Plaza,01/16/2042
Nettie Mason,Glen Stewart,1045 Wodteh Terrace,03/31/2031
Jerome Cummings,Jonathan Palmer,91 Bodka Place,05/08/2018
Cody Baldwin,Elmer Drake,188 Butov Circle,12/10/1997
Mario Schneider,Teresa Wallace,1476 Vifse Circle,06/07/2050
Nancy Guerrero,Helen Henderson,1218 Wios Grove,07/11/1958
Lizzie Baker,Minnie Marsh,1204 Hetba Grove,08/05/1959
Vernon Strickland,Cynthia Cobb,1557 Jilfa Extension,01/28/2067
Andre Wagner,Elmer Marshall,227 Pifo Heights,04/18/2000
Emily Morales,Micheal Underwood,1371 Memah River,08/09/1904
Genevieve Massey,Peter Young,1594 Murpo Heights,10/19/2012
Harriet Gross,Jared Fox,1792 Habdi Path,01/06/1971
Belle Conner,Olga Santiago,1704 Cobfak River,01/18/2054
Catherine Caldwell,Mae Gibson,1076 Riwgo Point,09/25/1978
Ronald Greer,Augusta Craig,41 Igic Pass,07/21/2033
Daniel Smith,Verna Jenkins,281 Giwhus Manor,03/02/1901
Caleb Harvey,Frances Bates,1402 Epudo Road,10/20/2016
Belle Casey,Darrell Casey,1965 Usuni Grove,10/09/1936
Jonathan Garner,Eugene Hardy,135 Lecwi Turnpike,03/09/2052
Harry Pratt,Betty Barker,288 Himjog Center,11/17/1935
Sara Hubbard,Mathilda Day,1813 Mutver Parkway,04/09/2000
Ricardo Doyle,Lelia McDonald,1247 Hatze Road,01/21/2003
Hulda Gonzales,Ruth Owens,822 Razo Pass,10/08/1939
Agnes Moran,Pearl Wilkins,1184 Dowib Avenue,04/11/1938
Rosa Sullivan,Cecilia Morales,723 Rupe Avenue,12/15/1971
Harriet Barber,Leroy Bishop,455 Diwso Way,06/01/1935
Glenn Shelton,Jerry Lindsey,1070 Tazze Circle,07/14/2014
Inez Horton,Georgie Strickland,860 Iregi Loop,09/05/1930
Julia Todd,Alice Carter,1737 Condi Center,04/07/2039
Viola Summers,Daniel Vaughn,1195 Zuhlo Avenue,07/09/2010
Susie Barber,Harry Turner,1494 Anil Highway,07/06/1957
Abbie Bates,Ivan Stewart,276 Mohpoh Highway,01/15/2032
Jessie Fletcher,Lottie Bush,865 Bubi Turnpike,11/02/1916
Harvey Bates,Hannah Wood,1174 Zuumu Drive,05/14/1900
Harold Manning,Frances Matthews,1505 Seglum Road,01/16/2032
Hattie Sullivan,Delia Romero,911 Paju Mill,09/20/1931
Leila James,Gordon Francis,1425 Jejiw Point,12/02/1952
Violet Hoffman,Lucile Wells,1148 Oruvud Ridge,02/01/2018
Essie Freeman,Zachary Reynolds,938 Buhibu Loop,02/05/2030
Flora Wagner,Peter Higgins,934 Mupmol Path,05/09/1975
Estelle Collier,Elizabeth Washington,1464 Lagip Plaza,02/12/1944
Elnora Hopkins,Stanley Bailey,1762 Jebu Boulevard,06/27/2031
Janie Tyler,Matilda Schultz,902 Nevlad Park,12/02/1902
Alexander Nichols,Maud Day,1634 Jocij River,07/11/2052
George Reese,Emma Campbell,902 Simpi Loop,04/21/2064
Grace Nichols,Genevieve Alvarez,180 Rekto Manor,01/29/2022
Nellie Sanchez,Claudia Ruiz,414 Godnu Way,07/07/2045
Jennie Flores,Lela Logan,534 Izen Key,01/22/2038
Jason Berry,Luis Pena,1093 Zubfid Park,05/27/2011
Tony Harvey,Irene Gilbert,651 Miseru Turnpike,10/06/1924
Leona Cox,Katherine Webb,1588 Dace Avenue,10/02/2010
Addie Little,Elmer Sims,44 Mafme Lane,08/10/2063
